level_0,level_1,Name,join_artists,Score,Song_top,Song_attr
909,5205,1.0,1.0,2.0,Kanye West - All Mine,Kanye West - All Mine
914,5198,1.0,1.0,2.0,Kanye West - Ghost Town,Kanye West - Ghost Town
915,5218,1.0,1.0,2.0,Kanye West - I Thought About Killing You,Kanye West - I Thought About Killing You
916,5222,1.0,1.0,2.0,Kanye West - No Mistakes,Kanye West - No Mistakes
920,5228,1.0,1.0,2.0,Kanye West - Violent Crimes,Kanye West - Violent Crimes
922,5199,1.0,1.0,2.0,Kanye West - Wouldn't Leave,Kanye West - Wouldn't Leave
923,5231,1.0,1.0,2.0,Kanye West - Yikes,Kanye West - Yikes
927,5255,1.0,1.0,2.0,Katy Perry - Cozy Little Christmas,Katy Perry - Cozy Little Christmas
976,5346,1.0,1.0,2.0,Kenny Chesney - Get Along,Kenny Chesney - Get Along
984,5363,1.0,1.0,2.0,Kevin Gates - Change Lanes,Kevin Gates - Change Lanes
989,5406,1.0,1.0,2.0,Khalid - Better,Khalid - Better
995,5421,1.0,1.0,2.0,Khalid - Vertigo,Khalid - Vertigo
1001,5393,1.0,1.0,2.0,Khalid - OTW,Khalid - OTW
1011,5532,1.0,1.0,2.0,Kodak Black - Calling My Spirit,Kodak Black - Calling My Spirit
1017,5541,1.0,1.0,2.0,"Kodak Black - If I'm Lyin, I'm Flyin","Kodak Black - If I'm Lyin', I'm Flyin'"
1022,5550,1.0,1.0,2.0,Kodak Black - Testimony,Kodak Black - Testimony
1027,5617,1.0,1.0,2.0,Kygo - Remind Me To Forget,Kygo - Remind Me to Forget
1029,5608,1.0,1.0,2.0,Kygo - Born To Be Yours,Kygo - Born To Be Yours
1034,5701,1.0,1.0,2.0,Lady Gaga - Always Remember Us This Way,Lady Gaga - Always Remember Us This Way
1041,5698,1.0,1.0,2.0,Lady Gaga - Shallow,Lady Gaga - Shallow
1047,5773,1.0,1.0,2.0,Lauren Daigle - You Say,Lauren Daigle - You Say
1053,5872,1.0,1.0,2.0,Lewis Capaldi - Someone You Loved,Lewis Capaldi - Someone You Loved
1062,5900,1.0,1.0,2.0,Lil Baby - Life Goes On,Lil Baby - Life Goes On
1065,5917,1.0,1.0,2.0,Lil Baby - Pure Cocaine,Lil Baby - Pure Cocaine
1067,5918,1.0,1.0,2.0,Lil Baby - Southside,Lil Baby - Southside
1070,5896,1.0,1.0,2.0,Lil Baby - Yes Indeed,Lil Baby - Yes Indeed
1079,5970,1.0,1.0,2.0,Lil Mosey - Kamikaze,Lil Mosey - Kamikaze
1080,5972,1.0,1.0,2.0,Lil Mosey - Noticed,Lil Mosey - Noticed
1101,6124,1.0,1.0,2.0,Lil Uzi Vert - New Patek,Lil Uzi Vert - New Patek
1112,6160,1.0,1.0,2.0,Lil Wayne - Can't Be Broken,Lil Wayne - Can't Be Broken
1114,6161,1.0,1.0,2.0,Lil Wayne - Dedicate,Lil Wayne - Dedicate
1120,6163,1.0,1.0,2.0,Lil Wayne - Let It All Work Out,Lil Wayne - Let It All Work Out
1122,6164,1.0,1.0,2.0,Lil Wayne - Mess,Lil Wayne - Mess
1130,6155,1.0,1.0,2.0,Lil Wayne - Uproar,Lil Wayne - Uproar
1135,6178,1.0,1.0,2.0,Lil Yachty - 66,Lil Yachty - 66
1151,6270,1.0,1.0,2.0,Logic - 44 More,Logic - 44 More
1159,6267,1.0,1.0,2.0,Logic - Indica Badu,Logic - Indica Badu
1161,6282,1.0,1.0,2.0,Logic - Midnight,Logic - Midnight
1167,6265,1.0,1.0,2.0,Logic - Everyday,Logic - Everyday
1177,6432,1.0,1.0,2.0,Lukas Graham - Love Someone,Lukas Graham - Love Someone
1190,6456,1.0,1.0,2.0,Luke Combs - Beautiful Crazy,Luke Combs - Beautiful Crazy
1194,6478,1.0,1.0,2.0,Luke Combs - Must've Never Met You,Luke Combs - Must've Never Met You
1202,6597,1.0,1.0,2.0,Mac Miller - Come Back To Earth,Mac Miller - Come Back to Earth
