level_0,level_1,Name,join_artists,Score
494,2875,1.0,1.0,2.0
498,2877,1.0,1.0,2.0
500,2825,1.0,1.0,2.0
505,2799,1.0,1.0,2.0
507,2883,1.0,1.0,2.0
516,2890,1.0,1.0,2.0
538,2942,1.0,1.0,2.0
539,2944,1.0,1.0,2.0
544,2960,1.0,1.0,2.0
546,2966,1.0,1.0,2.0
548,3000,1.0,1.0,2.0
550,3015,1.0,1.0,2.0
551,3016,1.0,1.0,2.0
553,3017,1.0,1.0,2.0
555,3018,1.0,1.0,2.0
556,3019,1.0,1.0,2.0
557,3020,1.0,1.0,2.0
559,3023,1.0,1.0,2.0
560,3024,1.0,1.0,2.0
561,3026,1.0,1.0,2.0
562,3027,1.0,1.0,2.0
563,3028,1.0,1.0,2.0
566,3085,1.0,1.0,2.0
605,3283,1.0,1.0,2.0
635,3423,1.0,1.0,2.0
636,3440,1.0,1.0,2.0
646,3488,1.0,1.0,2.0
664,3574,1.0,1.0,2.0
668,3577,1.0,1.0,2.0
685,3558,1.0,1.0,2.0
723,3952,1.0,1.0,2.0
727,3969,1.0,1.0,2.0
730,3992,1.0,1.0,2.0
731,3993,1.0,1.0,2.0
732,3964,1.0,1.0,2.0
734,4026,1.0,1.0,2.0
735,4028,1.0,1.0,2.0
739,4149,1.0,1.0,2.0
740,4150,1.0,1.0,2.0
741,4152,1.0,1.0,2.0
742,4153,1.0,1.0,2.0
743,4154,1.0,1.0,2.0
747,4234,1.0,1.0,2.0
751,4247,1.0,1.0,2.0
752,4251,1.0,1.0,2.0
754,4315,1.0,1.0,2.0
778,4377,1.0,1.0,2.0
779,4376,1.0,1.0,2.0
786,4378,1.0,1.0,2.0
791,4428,1.0,1.0,2.0
847,4830,1.0,1.0,2.0
848,4834,1.0,1.0,2.0
867,4986,1.0,1.0,2.0
902,5182,1.0,1.0,2.0
904,5184,1.0,1.0,2.0
926,5253,1.0,1.0,2.0
930,5252,1.0,1.0,2.0
943,5292,1.0,1.0,2.0
953,5319,1.0,1.0,2.0
981,5353,1.0,1.0,2.0
996,5423,1.0,1.0,2.0
1009,5514,1.0,1.0,2.0
1010,5515,1.0,1.0,2.0
1019,5545,1.0,1.0,2.0
1023,5553,1.0,1.0,2.0
1024,5554,1.0,1.0,2.0
1028,5607,1.0,1.0,2.0
1033,5694,1.0,1.0,2.0
1039,5708,1.0,1.0,2.0
1043,5738,1.0,1.0,2.0
1050,5810,1.0,1.0,2.0
1051,5814,1.0,1.0,2.0
1056,5885,1.0,1.0,2.0
1063,5915,1.0,1.0,2.0
1084,5987,1.0,1.0,2.0
1091,6034,1.0,1.0,2.0
1094,6044,1.0,1.0,2.0
1097,6103,1.0,1.0,2.0
1098,6109,1.0,1.0,2.0
1102,6125,1.0,1.0,2.0
1104,6136,1.0,1.0,2.0
1109,6148,1.0,1.0,2.0
1134,6166,1.0,1.0,2.0
1152,6258,1.0,1.0,2.0
1156,6274,1.0,1.0,2.0
1168,6306,1.0,1.0,2.0
1170,6308,1.0,1.0,2.0
1171,6313,1.0,1.0,2.0
1172,6386,1.0,1.0,2.0
1175,6427,1.0,1.0,2.0
1184,6441,1.0,1.0,2.0
1185,6442,1.0,1.0,2.0
1188,6446,1.0,1.0,2.0
1189,6447,1.0,1.0,2.0
1196,6495,1.0,1.0,2.0
1215,6722,1.0,1.0,2.0
1242,6824,1.0,1.0,2.0
1250,6836,1.0,1.0,2.0
1251,6839,1.0,1.0,2.0
1315,7058,1.0,1.0,2.0
1332,7101,1.0,1.0,2.0
1334,7106,1.0,1.0,2.0
1350,7371,1.0,1.0,2.0
1351,7372,1.0,1.0,2.0
1357,7458,1.0,1.0,2.0
1362,7499,1.0,1.0,2.0
1364,7502,1.0,1.0,2.0
1368,7503,1.0,1.0,2.0
1381,7513,1.0,1.0,2.0
1384,7530,1.0,1.0,2.0
1401,7656,1.0,1.0,2.0
1404,7671,1.0,1.0,2.0
1406,7674,1.0,1.0,2.0
1409,7680,1.0,1.0,2.0
1431,7783,1.0,1.0,2.0
